FIPS,State,State FIPS Code,JurisdictionName,JurisdictionType,Date,Description,FinanceMechanism,"""Other"" Comment",Purpose,TotalFundsatStake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,TPL/TCC Support,Voted Acq. Measure,# Digits FIPS,# Votes No,# Votes Yes,Record ID#,Related Code - FIPS DB,Related Code - Political DB,Total Votes,TPL Mission Funds Approved,TPL Mission Funds at Stake,Year of Expiration,Year of Renewal,State Abbreviation
2,AK,2,Matanuska-Susitna Borough,County,10/7/2003,"Bond for park and recreation facility acquisition, improvement",Bond,,"Parks, recreation",5375000,490000,,,no,Fail,0.492633735,0.507366265,,,yes,5,6440,6253,6053,2170,,12693,0,490000,,,AK
2,AK,2,Anchorage,Municipal,4/2/2002,Proposition E; Bond measure for recreation areas,Bond,,Recreation,1600000,1600000,,,no,Fail,0.404291135,0.595708865,,,yes,7,20879,14170,6054,203000,,35049,0,1600000,,,AK
2,AK,2,Anchorage,Municipal,4/1/2003,"Prop 7: Anchorage Parks and Recreation Service Area Capital Improvement Bonds, Bond for park improvements, recreation, land acquisition",Bond,,"Recreation, parks",5000000,325000,,,no,Fail,0.48454196,0.51545804,,,yes,7,31645,29747,6055,203000,,61392,0,325000,,,AK
2,AK,2,Anchorage,Municipal,4/16/1996,"Ordinance 96-24S, Bond for Parks, Recreation, Trails",Bond,,"Parks, recreation, trails",11950000,11950000,,,no,Fail,0.401317552,0.598682448,,,yes,7,26809,17971,7082,203000,,44780,0,11950000,,,AK
2,AK,2,Anchorage,Municipal,4/6/2004,"Bond for park improvements, trail upgrades, and recreational facilities",Bond,,"Trails, parks, greenways",4335000,4335000,,,no,Fail,0.446061595,0.553938405,,,yes,7,29192,23507,7413,203000,,52699,0,4335000,,,AK
2,AK,2,Anchorage,Municipal,4/4/2006,Bond to protect water quality and to preserve and enhance open space and natural areas,Bond,,"Watershed protection, opens pace, parks, recreation ",3950000,3950000,,,no,Fail,0.487359631,0.512640369,,"TPL, TCC",yes,7,35608,33852,9304,203000,,69460,0,3950000,,,AK
2,AK,2,Anchorage,Municipal,4/18/1995,Bond for parks and capital improvements,Bond,,"Parks, recreation",6110000,954000,6110000,954000,yes,Pass,0.579068453,0.420931547,,,yes,7,20858,28694,9362,203000,,49552,954000,954000,,,AK
1,AL,1,Alabama,State,11/3/1992,"Alabama Forever Land Trust-for the acquisition, maintenance and protection of lands and water areas,  plant and animal life, geological formations, wild habitats, recreational value and scenic beauty",Other,Interest from oil and gas royalties,"Open space, recreation,wildlife habitat,watershed protection",200000000,200000000,200000000,200000000,yes,Pass,0.836485201,0.163514799,,,yes,2,177918,910167,7875,1,1,1088085,200000000,200000000,,,AL
1,AL,1,Alabama,State,11/6/2012,"20-year, continuation of a 10 percent levy on offshore gas operations, which fund the Forever Wild program and the purchase of recreational lands",Other,Royalties from offshore gas operations in Alabama waters,"Wildlife habitat, parks, recreation, open space, watershed protection",300000000,300000000,300000000,300000000,yes,Pass,0.751581006,0.248418994,"Funds are capped at $15M annually, Statewide Amendment 1",TPL,yes,2,437560,1323819,9904,1,1,1761379,300000000,300000000,,,AL
4,AZ,4,Flagstaff,Municipal,5/18/2004,Bond for regional park and neighborhood parks,Bond,,Parks,2800000,2800000,2800000,2800000,yes,Pass,0.584430605,0.415569395, Coconino County,,yes,7,4671,6569,6058,423620,,11240,2800000,2800000,,,AZ
