adm,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AL,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Other,none,none,none,none
AK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AZ,none,none,Other,none,none,none,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AR,none,none,none,none,none,none,none,none,Sales tax,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CA,Bond,none,Other,none,none,none,none,none,Bond,none,none,none,Bond,none,Bond,none,none,none,Bond,none,none,none,none,none,none,none,Bond,none,none
CO,none,none,none,none,Other,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
FL,none,none,none,none,none,none,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Real estate transfer tax,none,none
GA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
HI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ID,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
IL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
IN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
IA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Sales tax,none,none,none,none,none,none
KS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
KY,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
LA,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ME,none,none,none,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,Bond,none,Bond,none,none,Bond,none,Bond,none,none,none,none
MD,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
MA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
MI,none,none,none,none,none,none,Other,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
MN,Other,none,Other,none,none,none,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,Sales tax,none,none,none,none,none,none,none,none
MS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
MO,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Sales tax
MT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NE,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NV,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NH,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NJ,none,Bond,none,none,Bond,none,none,Bond,none,none,Sales tax,none,none,none,none,Bond,none,none,none,Bond,none,Bond,none,none,none,none,Other,none,none
NM,Bond,none,none,none,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NY,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NC,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ND,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
OH,none,none,none,none,none,Bond,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none
OK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
OR,none,none,none,none,none,none,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,Other,none,none,none,none,none,none
PA,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none
RI,Bond,Bond,Bond,none,none,none,none,none,Bond,none,Bond,none,Bond,none,Bond,none,Bond,none,none,none,Bond,none,Bond,none,Bond,none,Bond,none,Bond
SC,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
SD,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
TN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
TX,none,none,none,none,none,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
UT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
VT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
VA,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,Bond,none,none,none,none,none,none,none,none,none,none,none,none,none,none
WA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
WV,none,none,none,none,none,none,none,none,Other,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
WI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
WY,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
