adm,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
AL,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
AK,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
AZ,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
AR,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
CA,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,
CO,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
CT,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
DE,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
FL,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,
GA,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
HI,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
ID,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
IL,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
IN,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
IA,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
KS,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
KY,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
LA,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
ME,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,State Measure(s) Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
MD,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
MA,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
MI,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,No State Measures Passed,
